47.731701;-3.386494
47.730625;-3.386548
47.729954;-3.387740
47.729327;-3.387954
47.728821;-3.387632
47.728468;-3.387643
47.728056;-3.387278
47.727566;-3.386924
47.726765;-3.388019
47.727039;-3.388544
47.728028;-3.388383
47.728944;-3.388469
47.728937;-3.389853
47.729413;-3.390969
47.728821;-3.392707
47.730193;-3.395519
47.730431;-3.397020
47.731405;-3.397599
47.731448;-3.398501
47.731961;-3.398844
47.731859;-3.401924
47.733065;-3.402996
47.733411;-3.402534
47.732581;-3.400785
47.732711;-3.399412
47.734558;-3.397073
47.734003;-3.396665
47.733209;-3.396912
47.732942;-3.396268
47.732603;-3.394884
47.732213;-3.393393
47.731549;-3.392975
47.731390;-3.391505
47.731650;-3.391194
47.731657;-3.390443
47.731304;-3.387899
47.731715;-3.386580
47.731701;-3.386494